city,hotel_name,price_per_night,rating,amenities
"New York","The Plaza",950,4.8,"Pool,Spa,Gym"
"New York","The Standard",450,4.5,"Rooftop Bar,Free WiFi"
"London","The Savoy",800,4.9,"River View,Butler Service"
"London","The Hoxton",250,4.6,"Free WiFi,Restaurant"
"Tokyo","Park Hyatt Tokyo",1100,4.9,"Sky Bar,Pool,Spa"
"Tokyo","Shinjuku Granbell Hotel",200,4.4,"Free WiFi,Bar"
"Paris","Ritz Paris",1500,5.0,"Spa,Gardens,Fine Dining"
"Los Angeles","Beverly Hills Hotel",1200,4.8,"Pool,Bungalows,Spa"
"Los Angeles","The LINE Hotel",350,4.3,"Pool,Nightclub,Free WiFi"
"Sydney","Four Seasons Hotel Sydney",600,4.7,"Harbour View,Pool,Spa"
"Dubai","Burj Al Arab Jumeirah",2500,5.0,"Butler Service,Underwater Restaurant,Spa"
"Dubai","Rove Downtown",150,4.5,"Pool,Gym,Free WiFi"
"Berlin","Hotel Adlon Kempinski",550,4.8,"Brandenburg Gate View,Spa,Gym"
"Chicago","The Langham, Chicago",700,4.9,"River View,Spa,Pool"